s_no,comment,sentiment
1,If it is 20 lakhs in india my side give a big thums down for say NO,Neutral
2,Oh My!!! Physical Buttons. So Happy 🎊,Positive
3,Why no diesel?,Neutral
4,The original is bck,Positive
5,"You will lose out on customers if you don’t provide ventilated seats, especially in the Indian market.",Neutral
6,"It's half way already 2025, and still it did not launch. These companies do not launch on time when market is very much ready, delay it so much and launch after people move away from that market, and cry for not getting good sales. No wonder these companies are not surviving in India",Positive
7,No sunroof 😢😢,Neutral
8,Wish it would come with a 4x4 drivetrain,Neutral
9,2025 festival season already started still not seeing any symptom for duster india,Neutral
10,India renault is slowest new duster sold out,Positive
11,The car tail light is bull shit,Neutral
12,If they come with good warranty and price and mileage they will win,Positive
13,Shouldn't have let out the diesel,Neutral
14,Strong Hybrid Engine | Plugin Hybrid Engine | Hydrogen Fuel Cell Engine  This above steps are future not EV,Positive
15,Does it have a hard clutch like it's big brother 😂😂😂,Negative
16,On Road price,Neutral
17,"Suggestions for Renault executives and directors if they see this comment:  You'll have to give good build quality with 4-5 stars global ratings.  The interior looks cheap, please make interiors looks premium like Hyundai Creta top edition  I heard in other reviews that the infotainment system doesn't seem to have good processor and memory. It felt laggy amd the camera is very low resolution So, give us a premium infotainment system. Don't forget the speakers. I recently experienced Volkswagen Virtus speakers quality. Dayum, they're great. They have 8 speakers, very high quality sound system. Vitus interiors are also so good. If Duster interiors anything less than what I i mentioned, they're sure to lose. So, don't mess this up  We need Renault Duster Black edition  Compete with the features of Hyundai Creta top end models, including seats and others. If you do that you'll have the potential to capture good markt share of compact SUVs  Give us a range of options to buy from, like give us diesel engines too. Start from the on road price of 12L to 24L. Don't go above that price range.  Design is perfect, don't change anything  I think I covered everything! Alright let's see the new Duster in 2025 Q4 or 2026 Q1",Positive
18,Going to release in 2029.🙄🤦🤦,Neutral
19,in ICE we will get a 1.2 l turbo petrol GDI? that's it?! What a dud!,Neutral
20,boss when it is launching😂😂😂😂,Neutral
